feature,coefficient,absolute_coefficient
iso_num_524,-0.23587249730477872,0.23587249730477872
country_Nepal,-0.23587249730477863,0.23587249730477863
iso_num_780,0.23114058799975368,0.23114058799975368
iso_alpha_TTO,0.23114058799975362,0.23114058799975362
country_Trinidad and Tobago,0.23114058799975332,0.23114058799975332
country_Chile,0.22730276928112494,0.22730276928112494
iso_num_152,0.22730276928112392,0.22730276928112392
iso_alpha_CHL,0.22730276928112345,0.22730276928112345
iso_num_616,0.22645611575150731,0.22645611575150731
iso_alpha_POL,0.2264561157515071,0.2264561157515071
country_Poland,0.22645611575150704,0.22645611575150704
country_Panama,0.2253514390869326,0.2253514390869326
iso_alpha_PAN,0.22535143908693217,0.22535143908693217
iso_num_591,0.22535143908693217,0.22535143908693217
iso_alpha_VEN,0.21663027792269524,0.21663027792269524
iso_num_862,0.21663027792269524,0.21663027792269524
country_Venezuela,0.21663027792269476,0.21663027792269476
"country_Korea, Rep.",0.20797277528300356,0.20797277528300356
country_Mauritius,0.20773036609452694,0.20773036609452694
iso_alpha_MUS,0.207730366094525,0.207730366094525
iso_num_480,0.20773036609452494,0.20773036609452494
country_Paraguay,0.20682913872937686,0.20682913872937686
iso_alpha_PRY,0.2068291387293762,0.2068291387293762
iso_num_600,0.20682913872937592,0.20682913872937592
country_Malaysia,0.20404084984967477,0.20404084984967477
iso_num_458,0.20404084984967472,0.20404084984967472
iso_alpha_MYS,0.20404084984967472,0.20404084984967472
country_Senegal,-0.20157479285933314,0.20157479285933314
iso_num_686,-0.20157479285933258,0.20157479285933258
iso_alpha_SEN,-0.20157479285933255,0.20157479285933255
country_Hungary,0.2014749118654728,0.2014749118654728
iso_alpha_HUN,0.20147491186547234,0.20147491186547234
iso_num_348,0.2014749118654723,0.2014749118654723
iso_num_144,0.19869626978700342,0.19869626978700342
iso_alpha_LKA,0.1986962697870033,0.1986962697870033
country_Sri Lanka,0.19869626978700294,0.19869626978700294
iso_num_688,0.18268782015835325,0.18268782015835325
iso_alpha_SRB,0.18268782015835322,0.18268782015835322
country_Serbia,0.18268782015835308,0.18268782015835308
country_Gabon,-0.17960841149940393,0.17960841149940393
iso_num_266,-0.17960841149940382,0.17960841149940382
iso_alpha_GAB,-0.17960841149940382,0.17960841149940382
iso_num_68,-0.17409452317648771,0.17409452317648771
iso_alpha_BOL,-0.17409452317648766,0.17409452317648766
country_Bolivia,-0.17409452317648433,0.17409452317648433
iso_alpha_ROU,0.1720837216388401,0.1720837216388401
iso_num_642,0.17208372163884006,0.17208372163884006
country_Romania,0.17208372163883878,0.17208372163883878
"country_Korea, Dem. Rep.",0.16820460280673066,0.16820460280673066
iso_alpha_IDN,-0.16702814359174462,0.16702814359174462
country_Indonesia,-0.16702814359174462,0.16702814359174462
iso_num_360,-0.1670281435917445,0.1670281435917445
country_Sudan,-0.16688816996629458,0.16688816996629458
iso_alpha_SDN,-0.16688816996629388,0.16688816996629388
iso_num_736,-0.16688816996629385,0.16688816996629385
iso_alpha_TGO,-0.16632122538983685,0.16632122538983685
iso_num_768,-0.1663212253898367,0.1663212253898367
country_Togo,-0.16632122538983657,0.16632122538983657
iso_alpha_BIH,0.16594815372286736,0.16594815372286736
country_Bosnia and Herzegovina,0.1659481537228673,0.1659481537228673
iso_num_70,0.16594815372286723,0.16594815372286723
iso_alpha_KEN,-0.16005265575960032,0.16005265575960032
iso_num_404,-0.16005265575960032,0.16005265575960032
country_Kenya,-0.16005265575960007,0.16005265575960007
country_Ghana,-0.15780571090861206,0.15780571090861206
iso_num_288,-0.15780571090861156,0.15780571090861156
iso_alpha_GHA,-0.15780571090861145,0.15780571090861145
iso_num_174,-0.1568355751648907,0.1568355751648907
iso_alpha_COM,-0.15683557516489044,0.15683557516489044
country_Comoros,-0.15683557516488988,0.15683557516488988
country_Mauritania,-0.13843511351278165,0.13843511351278165
iso_num_478,-0.1384351135127807,0.1384351135127807
iso_alpha_MRT,-0.1384351135127807,0.1384351135127807
iso_num_586,-0.13410329252560038,0.13410329252560038
iso_alpha_PAK,-0.13410329252560038,0.13410329252560038
country_Pakistan,-0.13410329252560022,0.13410329252560022
iso_alpha_MEX,0.12739161448901565,0.12739161448901565
iso_num_484,0.12739161448901562,0.12739161448901562
country_Mexico,0.12739161448901543,0.12739161448901543
iso_alpha_ZWE,-0.11862724214808346,0.11862724214808346
iso_num_716,-0.1186272421480834,0.1186272421480834
country_Zimbabwe,-0.1186272421480832,0.1186272421480832
country_South Africa,-0.1182513627152732,0.1182513627152732
iso_alpha_ZAF,-0.1182513627152732,0.1182513627152732
iso_num_710,-0.11825136271527317,0.11825136271527317
country_Albania,0.11066114154027913,0.11066114154027913
iso_num_8,0.1106611415402773,0.1106611415402773
iso_alpha_ALB,0.11066114154027705,0.11066114154027705
country_Thailand,0.10829101178590403,0.10829101178590403
iso_num_764,0.10829101178590386,0.10829101178590386
iso_alpha_THA,0.1082910117859038,0.1082910117859038
country_Botswana,-0.09897063846275489,0.09897063846275489
iso_num_72,-0.09897063846275482,0.09897063846275482
iso_alpha_BWA,-0.09897063846275479,0.09897063846275479
iso_alpha_COG,-0.09660845542102112,0.09660845542102112
iso_num_178,-0.09660845542102105,0.09660845542102105
"country_Congo, Rep.",-0.09660845542102064,0.09660845542102064
iso_num_170,0.09113956120459878,0.09113956120459878
iso_alpha_COL,0.09113956120459867,0.09113956120459867
country_Colombia,0.09113956120459779,0.09113956120459779
country_Tunisia,0.0888524695784953,0.0888524695784953
iso_alpha_TUN,0.08885246957849524,0.08885246957849524
iso_num_788,0.08885246957849507,0.08885246957849507
country_Turkey,-0.08838469810634644,0.08838469810634644
iso_alpha_TUR,-0.08838469810634625,0.08838469810634625
iso_num_792,-0.08838469810634608,0.08838469810634608
country_Guatemala,-0.0879406515565691,0.0879406515565691
iso_num_320,-0.0879406515565685,0.0879406515565685
